epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,1997.51,0.43957,0.45169,0.87536,0.90703,0.74533,0.85849,0.77336,0.46735,0.65185,0.84829,0.000288718,0.000288718,0.000288718
134,2012.44,0.43631,0.42931,0.86445,0.89658,0.72847,0.85999,0.78141,0.45833,0.65087,0.85088,0.000284594,0.000284594,0.000284594
135,2027.35,0.434,0.43613,0.86427,0.84005,0.78843,0.87254,0.79209,0.45553,0.65564,0.84866,0.000280471,0.000280471,0.000280471
136,2042.09,0.42894,0.43536,0.86956,0.88443,0.74416,0.84389,0.77072,0.46286,0.6822,0.84747,0.000276348,0.000276348,0.000276348
137,2056.86,0.43359,0.44372,0.87045,0.83575,0.79829,0.88505,0.80282,0.46329,0.61708,0.84476,0.000272224,0.000272224,0.000272224
138,2071.83,0.41967,0.40555,0.85144,0.89732,0.80427,0.88362,0.8021,0.47077,0.62766,0.84527,0.000268101,0.000268101,0.000268101
139,2086.99,0.4176,0.42905,0.86978,0.87679,0.79854,0.87402,0.78821,0.47076,0.61343,0.83959,0.000263978,0.000263978,0.000263978
140,2102.23,0.41216,0.40976,0.86466,0.84749,0.8086,0.87509,0.78871,0.46104,0.63546,0.83916,0.000259854,0.000259854,0.000259854
141,2117.29,0.41878,0.41181,0.87399,0.8457,0.75893,0.85335,0.77387,0.46156,0.6502,0.83852,0.000255731,0.000255731,0.000255731
142,2132.28,0.42604,0.42503,0.86801,0.85895,0.76605,0.86243,0.78948,0.46127,0.67077,0.8441,0.000251608,0.000251608,0.000251608
143,2147.26,0.40772,0.39687,0.85837,0.91865,0.79353,0.89448,0.80428,0.46583,0.59597,0.83737,0.000247484,0.000247484,0.000247484
144,2162.42,0.41688,0.4076,0.86564,0.89911,0.82432,0.89926,0.82092,0.46783,0.57649,0.84487,0.000243361,0.000243361,0.000243361
145,2177.37,0.41473,0.41671,0.85939,0.88333,0.76887,0.85605,0.7759,0.4689,0.65684,0.83845,0.000239238,0.000239238,0.000239238
146,2192.31,0.40115,0.40816,0.8626,0.86253,0.80094,0.87433,0.79757,0.47023,0.66742,0.83925,0.000235114,0.000235114,0.000235114
147,2207.37,0.4055,0.40202,0.86442,0.8617,0.83023,0.88086,0.81291,0.45634,0.6088,0.83246,0.000230991,0.000230991,0.000230991
148,2222.5,0.40134,0.39378,0.85694,0.86231,0.76869,0.87265,0.80068,0.46222,0.64028,0.83812,0.000226868,0.000226868,0.000226868
149,2237.54,0.4222,0.40515,0.87255,0.86518,0.77803,0.86993,0.79235,0.4645,0.66379,0.83824,0.000222744,0.000222744,0.000222744
